First Author,Year,Data Link,Journal Link,Elevation (m above sea lvl),N,S,E,W,Supp Analytes,Time Range,General Location,Downloaded?,Missing data placeholder,Earliest Year (CE),Latest Year (CE),Duplicate,OG,n_cores,name list,Has Flux,Abbreviation
Chellman,2017,https://doi.org/10.1021%2Facs.est.6b06574,Reassessment of the upper fremont glacier ice-core chronologies by synchronizing of ice-core-water isotopes to a nearby tree-ring chronology,4100,43.1,43.1,-109.6,-109.6,"more than 20 chemical species including water isotopes, black carbon (BC), a range of heavy metals, and other aerosols",1747 to 1998,"43.1°N, 109.6°W",Yes,-0.999,1747,1998,,,1,,,Upper Fremont Glacier (WY)
McConnell,2007,https://doi.org/10.25921/bphv-jy23,20th-Century Industrial Black Carbon Emissions Altered Arctic Climate Forcing,2713,71.4,71.4,-44,-44,"vanillic acid, and non–sea-salt sulfur",1788 to 2002,"71.4, -43.9",Yes,NaN,1788,2002,"Wolff, D4",Yes,1,,,D4
Osmont,2019,https://doi.org/10.25921/3ygy-q259,"A Holocene black carbon ice-core record of biomass burning in the Amazon Basin from Illimani, Bolivia",6300,-16.65,-16.65,-67.7833,-67.7833,only BC,-11050 CE to 1999 CE,"-16.6167, -67.7667",Yes,NaN,-11050,1999,"Liu, Illimani",Yes,1,,,Illimani glacier
Barker,2021,https://doi.org/10.25921/vxax-w749,Drought-induced biomass burning as a source of black carbon to the central Himalaya since 1781 CE as reconstructed from the Dasuopu ice core,7200,28.3833,28.3833,85.7167,85.7167,only BC,1781 to 1992,"28.38, 85.72",Yes,no missing,1781,1992,,,1,,,Dasuopu glacier
Ming,2008,https://doi.org/10.25921/8wa1-3d81,https://doi.org/10.5194/acp-8-1343-2008,6500,28.02,28.02,86.96,86.96,"temperature, precipitation, atmospheric trace gases",1950 to 2001,"27.98, 86.92",Yes,no missing,1951,2001,,,1,,,EGR
Legrand,2023,https://www.ncei.noaa.gov/access/paleo-search/study/38580,Same,5115,43.3483,43.3483,42.4267,42.4267,"(no BC) Dissolved Organic Carbon, Water-Soluble Organic Carbon and Monocarboxylate",1782 CE to 1979 CE,"43.3483, 42.4267",Yes,na,1782,1978,,,1,,,Mount Elbrus
Sierra-Hernandez,2022,https://www.ncei.noaa.gov/metadata/geoportal/rest/metadata/item/noaa-icecore-35133/html,Increased Fire Activity in Alaska Since the 1980s: Evidence From an Ice Core-Derived Black Carbon Record,4420,61.4,61.4,-141.7,-141.7,ammonium,1933 to 2001,"61.4, -141.7",Yes,no missing,1933,2001,,,1,,,Elias Mountain Range
Eichler,2023,https://www.ncei.noaa.gov/metadata/geoportal/rest/metadata/item/noaa-icecore-37972/html,Same,not listed,,,,,Ion and Trace Element Concentration,,N: 46.551S: 45.84E: 8.07W: 6.848,,-999,1755,2015,,,1,FH,,
Osmont,2018,https://doi.org/10.25921/gqct-0c60,"An 800-year high-resolution black carbon ice core record from Lomonosovfonna, Svalbard",1202,78.8234,78.8234,17.4331,17.4331,only BC,1222 CE to 2011 CE,"78.8234, 17.4331",Yes,no missing,1222,2011,,,1,,,LF-09
Zdanowicz,2018,https://www.polardata.ca/pdcsearch/PDCSearchDOI.jsp?doi_id=12952,Historical black carbon deposition in the Canadian High Arctic: a >250-year long ice-core record from Devon Island,not listed,75.32,75.32,-81.64,-81.64,only BC,1735 to 1992,"75.32◦ N, 81.64 W",Yes,no missing,1735,1992,,,1,,,Devon ice cap
