model number,BC_vars,year,chellman-2017-1.csv,mcconnell-2007-1.csv,osmont-2019-1.csv,barker-2021-1.csv,ming-2008-1.csv,legrand-2023-1.csv,sierra-hernández-2022-1.csv,eichler-2023-1.csv,osmont-2018-1.csv,zdanowicz-2018-1.csv,sigl-2018-1.csv,wolff-2012-1.csv,mcconnell-2021-1.csv,mcconnell-2021-2.csv,mcconnell-2021-3.csv,mcconnell-2021-4.csv,mcconnell-2021-5.csv,taylor-2011-1.csv,arienzo-2017-1.csv,mcconnell-2017-1.csv,liu-2021-1.csv,liu-2021-2.csv,liu-2021-3.csv,liu-2021-4.csv,liu-2021-5.csv,xu-2009-1.csv,rupple-2014-1.csv,zhang-2024-1.csv,zhang-2024-2.csv,zhang-2024-3.csv,zhang-2024-4.csv,zhang-2024-5.csv,zhang-2024-6.csv,zhang-2024-7.csv,zhang-2024-8.csv,zhang-2024-9.csv,zhang-2024-10.csv,zhang-2024-11.csv,zhang-2024-12.csv,zhang-2024-13.csv,mcconnell-2022-1.csv,matthew-2016-1.csv,kaspari-2020-1.csv
18-h11970-01-01-00000,bc_a1_SRF,1970,1.0069565153242605e-10,4.3273826866502965e-13,3.34598179659134e-13,8.236719165993251e-12,2.615734145831152e-12,6.429611256251457e-13,2.149431960119621e-11,5.887416345283683e-13,1.0047483492153208e-14,4.400043254445372e-14,4.805109588722995e-13,2.947110951996574e-14,4.492565545228611e-15,4.492565545228611e-15,2.2728302067803385e-13,3.6107521375555135e-15,4.2854706663724676e-16,3.637406146211067e-15,2.736976557017146e-13,3.637406146211067e-15,1.4923898121771112e-15,8.419696443199453e-16,1.7348509545838903e-15,2.24348581700515e-16,3.2128486710115467e-16,2.0152455367549858e-11,8.386029653321855e-15,2.947110951996574e-14,1.1110894971284836e-14,1.4718514703678553e-13,3.7328449395989094e-13,6.361497610547702e-13,1.3028278028550285e-13,9.41011532613372e-15,5.986355714072327e-15,7.485316973019967e-15,3.667692147130473e-14,5.530742987323546e-14,7.234156313616758e-14,1.5919160648212124e-11,5.986355714072327e-15,1.033771162904666e-11,6.299645101089503e-12
18-h11975-01-01-00000,bc_a1_SRF,1975,3.177807506784021e-10,4.174896203521924e-13,1.5576741280393628e-12,1.602438693877809e-11,9.198720130817952e-12,2.0007721713467613e-13,4.219778047704982e-12,1.7135267774116793e-13,2.1548910786684627e-15,1.3471971920622822e-13,2.0457196689559178e-13,6.573289451250793e-14,1.0266950373872547e-16,1.0266950373872547e-16,1.277846989726946e-14,1.9604013232380893e-16,1.6592552830262782e-16,6.2257660010386215e-15,2.1427548874139104e-14,6.2257660010386215e-15,6.9270493810179395e-15,2.8785385936076553e-16,1.1693221647357726e-16,6.676502117089308e-17,9.863268723591845e-17,4.6876752452220096e-11,2.809257360086395e-15,6.573289451250793e-14,5.908246959102429e-14,2.702592502965465e-14,3.5302296383793176e-13,5.959957435232982e-13,2.893274848310801e-14,1.0783946576061578e-13,9.731659937978797e-15,2.813191158816217e-14,2.1221586492174311e-13,6.597901077825436e-14,2.2149222081639622e-13,2.941961000114974e-12,9.731659937978797e-15,2.428933844700251e-11,8.31364721373351e-12
18-h11980-01-01-00000,bc_a1_SRF,1980,3.3281425356813153e-10,2.0171628745217077e-13,7.7508597296077e-13,8.999675377613977e-12,7.183378644832498e-12,2.2302427513813536e-13,2.5543409667465295e-12,1.161241925716833e-13,3.450368244207096e-14,1.6610133621058838e-13,1.3962366986071066e-13,2.6749417103055148e-14,2.9642785045881157e-16,2.9642785045881157e-16,1.0263271323428043e-15,4.231386666792178e-17,1.2659620803275233e-16,1.1913732993050965e-14,9.450648356249583e-15,1.1913732993050965e-14,1.8179983073531947e-14,5.580028305574797e-18,2.356121182835207e-17,5.973309911849363e-17,3.3443176541334297e-16,2.0039570808381266e-11,3.6284849443161573e-14,2.6749417103055148e-14,2.0398316527959866e-14,1.6132890178053154e-14,8.752512027748711e-13,8.594244648290081e-13,1.9029606896526983e-14,2.192549823173952e-14,9.8974072459129e-15,1.5245839342528677e-14,1.9112295869099444e-14,1.3305282490875062e-14,6.984104337876098e-13,5.142902815892659e-12,9.8974072459129e-15,4.965354846881172e-12,3.3911827967074274e-11
18-h11985-01-01-00000,bc_a1_SRF,1985,2.9009265502329353e-10,1.886895669162397e-13,2.267727767352134e-12,2.339118206983767e-11,9.622419107288332e-12,4.2271126699598835e-13,1.3250245028768432e-11,1.1133317738170031e-13,1.2055750371175494e-15,3.7566623559150435e-14,1.4048429040587383e-13,2.395966316440745e-14,4.562769145395454e-17,4.562769145395454e-17,1.497090823478122e-14,1.0728114185118253e-15,7.319123094654674e-16,1.2345153815550027e-14,2.151510156399306e-14,1.2345153815550027e-14,1.326450060870615e-14,2.945934533463329e-15,3.939552462889644e-16,9.44226238710178e-16,1.0305240763297027e-16,4.762469711448888e-11,1.602536419687937e-15,2.395966316440745e-14,1.011218858289408e-13,2.361646971777075e-14,6.601769333119174e-13,1.5730286156510601e-12,3.1619906233566353e-14,1.0312117507750381e-13,5.4630254663354105e-15,1.774818594185086e-14,1.0517312494670347e-13,2.611141938649664e-15,1.0879375508304622e-13,2.685008469031342e-11,5.4630254663354105e-15,4.286983874478418e-11,2.005556231259881e-12
18-h11990-01-01-00000,bc_a1_SRF,1990,2.2017398847821765e-10,2.240150018902072e-13,4.2902713425360463e-13,5.700823691268212e-12,5.702834579640743e-12,2.245987661760557e-13,3.2919133775957584e-12,5.200216938038818e-13,6.153384382490782e-14,4.605949761154479e-14,6.872205002202899e-13,2.5226962595224827e-14,8.491530323621278e-15,8.491530323621278e-15,1.8686602134513547e-17,4.663637496825814e-15,2.404525760016358e-15,2.7623489496857938e-14,1.5442084519360732e-16,2.7623489496857938e-14,1.8109282494779834e-14,1.52499585881337e-16,2.5683995681308317e-15,9.719159258280267e-17,1.1384849981912802e-15,4.693726083070766e-11,1.012071899904337e-13,2.5226962595224827e-14,4.668548663144095e-15,1.718615846534701e-15,7.93536524099283e-13,1.6947360620546978e-12,2.075175890864412e-15,1.3969116478865923e-15,5.36798864279075e-15,4.0728541297014634e-15,3.2979985602777173e-14,4.3173009819533644e-13,4.113521394153897e-12,1.0353799062381937e-11,5.36798864279075e-15,5.622290543471788e-11,2.5913762946399194e-12
19-h11970-01-01-00000,bc_a1_SRF,1970,1.8473703545049787e-10,7.735567280389593e-13,3.0544589550585577e-12,4.053144544552739e-12,7.097240563321434e-12,5.100315725626989e-13,7.631003478149655e-12,1.265614863901758e-13,1.2052559279920525e-14,9.696572992675011e-14,3.594646882927623e-13,5.744646104173168e-13,7.121194441729922e-18,7.121194441729922e-18,5.341092214184252e-17,2.887121726490802e-15,1.813506356425494e-15,1.270699811494005e-15,7.487781576107848e-17,1.270699811494005e-15,5.493323675971637e-15,1.5672520681401579e-16,2.2325890548556653e-15,2.6867637954125275e-16,4.929592046797489e-16,1.676097548586581e-11,1.2998883043246152e-14,5.744646104173168e-13,8.493892043986664e-13,4.121110492790922e-14,7.016854739031971e-13,6.050646129410607e-13,6.52174153541471e-14,6.683230706756854e-13,1.827514047876977e-14,7.632306912276043e-15,2.0486055804117823e-12,4.253887930897089e-15,6.505817699510377e-12,1.5030198046421948e-11,1.827514047876977e-14,6.615280123507922e-11,1.372973324718893e-13
19-h11975-01-01-00000,bc_a1_SRF,1975,2.999065361071889e-11,8.304586748609977e-13,2.8396131019720156e-12,1.0498402949605478e-11,5.764770766916995e-12,3.05325506829974e-13,1.41219410845869e-11,6.222299473451488e-13,3.5350327511485934e-13,9.191135504463803e-16,4.779526661382398e-13,3.089460352446165e-13,7.326945907989345e-15,7.326945907989345e-15,4.326777936502292e-17,4.174189028886165e-15,8.162324983743635e-16,1.2963630245373464e-14,3.1642348178423797e-17,1.2963630245373464e-14,1.730668309244713e-14,6.276256717441482e-16,7.971566218949403e-16,5.304101566096719e-16,1.204912042195597e-15,1.8246756306096253e-11,3.5651125734337367e-13,3.089460352446165e-13,5.415631025705304e-13,6.822732431939589e-14,1.8769424587782697e-12,1.1177035170215928e-12,9.078299472854499e-14,4.783465493311703e-14,1.1876129420478061e-13,1.3267483272811369e-13,2.014339690635085e-12,2.5928302444778376e-14,2.8666625034803197e-12,9.724036855296588e-12,1.1876129420478061e-13,2.952990250247501e-11,3.846283565018041e-11
19-h11980-01-01-00000,bc_a1_SRF,1980,9.987072548373968e-11,1.0226294497027353e-12,1.2625961757488153e-12,1.3756015800557135e-11,6.430439817577828e-12,5.474012063561899e-13,4.895144853344168e-13,1.8217173341979704e-13,1.802014482474822e-14,1.0150078991548839e-12,2.5179735958539063e-13,3.454837787098926e-13,2.0948552450791229e-16,2.0948552450791229e-16,1.308521565152021e-15,7.486887546652968e-17,6.410853098684561e-16,1.0678450759807574e-14,1.8502717937601604e-15,1.0678450759807574e-14,6.631030597221022e-15,9.678534108053652e-17,1.6627391395381698e-16,3.584347226906374e-16,5.023644202546254e-16,6.826622198034485e-11,2.1818223343824672e-14,3.454837787098926e-13,4.334890333355612e-14,9.491774359101194e-15,6.929310465103298e-13,8.701736250399023e-13,6.145399635663838e-15,2.572325762137245e-14,1.691740096106901e-14,4.195309393393727e-15,1.0048965935261883e-13,1.548848595847378e-14,1.0358334557668795e-13,1.960735211014433e-12,1.691740096106901e-14,1.938250854613587e-11,2.3819347357812807e-12
19-h11985-01-01-00000,bc_a1_SRF,1985,6.878222212709775e-11,5.085138611974958e-13,1.406684935282866e-12,2.0399237780548775e-11,1.6787265358396954e-11,6.048670706008114e-13,2.321953741399315e-11,5.680525049586365e-14,6.064228843218587e-15,4.599589351669632e-13,6.873145863364291e-14,1.8588650283332322e-13,6.979749251587109e-15,6.979749251587109e-15,4.379815114901498e-15,3.0718604097532717e-17,3.5017187896274093e-16,1.1797778797326416e-14,1.316922057983806e-14,1.1797778797326416e-14,7.11596721284401e-15,5.05270579795999e-16,8.466288601108091e-16,3.564464772993694e-17,1.968514573697232e-15,7.516004334213261e-11,6.18493539162619e-15,1.8588650283332322e-13,5.654994091881526e-14,1.587172433636605e-14,2.583463476214114e-13,5.354849223375061e-13,3.160632970434567e-14,6.465339129045197e-14,2.1852002180370652e-15,1.0348827630949552e-15,1.5587637593868292e-13,1.1339164917257312e-15,6.944868576369512e-13,3.6400949479519803e-11,2.1852002180370652e-15,3.7172851268853755e-11,3.112729151847314e-12
19-h11990-01-01-00000,bc_a1_SRF,1990,7.783415385014116e-11,8.915124374010523e-13,2.6352752699457452e-14,1.497553549435913e-11,5.570646033565742e-12,2.338108742347974e-13,2.5291626033367224e-11,2.0458012085487041e-13,3.678778089743059e-14,1.0573760859002656e-13,2.7017172512857204e-13,1.8804610886483986e-13,6.3355540380222015e-16,6.3355540380222015e-16,2.2547032289516085e-15,1.9330133540936024e-15,4.167965748920099e-15,4.036695319634108e-15,2.2151343241214525e-15,4.036695319634108e-15,5.433079143295731e-15,3.3168111241184008e-15,4.310889564023706e-15,8.407630907990924e-17,1.2907349267194145e-15,3.60085390834782e-11,9.459916026399776e-14,1.8804610886483986e-13,3.976731819142152e-13,3.0791973392736474e-13,9.178597595999205e-13,6.225403430274527e-13,4.853675513239188e-13,7.509063762349352e-13,8.230326344697424e-14,5.395911596512717e-14,5.641903641676269e-13,2.4723156409116812e-14,3.029636902414628e-12,2.3224903731666553e-11,8.230326344697424e-14,2.5815468558465264e-11,1.208192404888886e-11
